gene,gene_id,uniprot,protein_class,molec_function,conc_thpa_ugl,conc_inter_bgs_average_ugl,conc_inter_geyer_ppd_ugl,top15bgs_thpa,top15bgs_thpa_log,mars14,sepromix20,,
"Proteasome 26S subunit, non-ATPase 5",ENSG00000095261,Q16401,"Plasma proteins, Predicted intracellular proteins",Chaperone,12,,,12,1.079181246,0,0,,
"Glycogen phosphorylase, muscle associated",ENSG00000068976,P11217,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Allosteric enzyme, Glycosyltransferase, Transferase",12,,,12,1.079181246,0,0,,
S100 calcium binding protein A11,ENSG00000163191,P31949,"Plasma proteins, Predicted intracellular proteins",,11,,18,11,1.041392685,0,0,,
Inhibin beta C subunit,ENSG00000175189,P55103,"Plasma proteins, Predicted secreted proteins","Growth factor, Hormone",11,,13,11,1.041392685,0,0,,
Serpin family B member 3,ENSG00000057149,P29508,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Serine protease inhibitor",11,,6.1,11,1.041392685,0,0,,
Enoyl-CoA delta isomerase 1,ENSG00000167969,P42126,"Enzymes, Plasma proteins, Predicted intracellular proteins",Isomerase,11,,4.4,11,1.041392685,0,0,,
Heterogeneous nuclear ribonucleoprotein A2/B1,ENSG00000122566,P22626,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins","Ribonucleoprotein, RNA-binding",11,,4.1,11,1.041392685,0,0,,
Polypeptide N-acetylgalactosaminyltransferase 2,ENSG00000143641,Q10471,"Enzymes, Plasma proteins, Predicted intracellular proteins","Glycosyltransferase, Transferase",11,,,11,1.041392685,0,0,,
Mannosidase alpha class 2B member 2,ENSG00000013288,Q9Y2E5,"Enzymes, Plasma proteins, Predicted secreted proteins","Glycosidase, Hydrolase",11,,,11,1.041392685,0,0,,
Tenascin N,ENSG00000120332,Q9UQP3,"Plasma proteins, Predicted secreted proteins",,11,,,11,1.041392685,0,0,,
Aldo-keto reductase family 1 member C3,ENSG00000196139,P42330,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,11,,,11,1.041392685,0,0,,
Neurotrophic receptor tyrosine kinase 3,ENSG00000140538,Q16288,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins","Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase",11,,,11,1.041392685,0,0,,
Protein kinase cAMP-dependent type I regulatory subunit alpha,ENSG00000108946,P10644,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",,11,,,11,1.041392685,0,0,,
Heat shock protein family A (Hsp70) member 4,ENSG00000170606,P34932,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,10,48.9,,10,1,0,0,,
Cathepsin H,ENSG00000103811,P09668,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protease, Thiol protease",10,,130,10,1,0,0,,
Heterogeneous nuclear ribonucleoprotein A1,ENSG00000135486,P09651,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Ribonucleoprotein, RNA-binding",10,,2.6,10,1,0,0,,
Cerebellin 4 precursor,ENSG00000054803,Q9NTU7,"Plasma proteins, Predicted secreted proteins",,10,,,10,1,0,0,,
Endoplasmic reticulum protein 44,ENSG00000023318,Q9BS26,"Plasma proteins, Predicted intracellular proteins",Chaperone,10,,,10,1,0,0,,
Protein tyrosine kinase 7 (inactive),ENSG00000112655,Q13308,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Receptor,10,,,10,1,0,0,,
Apolipoprotein L2,ENSG00000128335,Q9BQE5,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,10,,,10,1,0,0,,
Argininosuccinate lyase,ENSG00000126522,P04424,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Lyase,10,,,10,1,0,0,,
Diaphanous related formin 1,ENSG00000131504,O60610,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Actin-binding,10,,,10,1,0,0,,
Dynamin 1 like,ENSG00000087470,O00429,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Hydrolase,10,,,10,1,0,0,,
6-phosphogluconolactonase,ENSG00000130313,O95336,"Enzymes, Plasma proteins, Predicted intracellular proteins",Hydrolase,10,,,10,1,0,0,,
Secretion associated Ras related GTPase 1A,ENSG00000079332,Q9NR31,"Plasma proteins, Predicted intracellular proteins",,10,,,10,1,0,0,,
Septin 6,ENSG00000125354,Q14141,"Plasma proteins, Predicted intracellular proteins",,10,,,10,1,0,0,,
Structural maintenance of chromosomes 3,ENSG00000108055,Q9UQE7,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",,10,,,10,1,0,0,,
"RAB14, member RAS oncogene family",ENSG00000119396,P61106,"Plasma proteins, Predicted intracellular proteins",,9.9,,,9.9,0.995635195,0,0,,
Trans-golgi network protein 2,ENSG00000152291,O43493,"Plasma proteins, Predicted membrane proteins",,9.8,,,9.8,0.991226076,0,0,,
Thy-1 cell surface antigen,ENSG00000154096,P04216,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,9.8,,,9.8,0.991226076,0,0,,
Eukaryotic translation elongation factor 2,ENSG00000167658,P13639,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Elongation factor,9.7,,30,9.7,0.986771734,0,0,,
"Alcohol dehydrogenase 1C (class I), gamma polypeptide",ENSG00000248144,P00326,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,9.7,,,9.7,0.986771734,0,0,,
Galectin like,ENSG00000119862,Q3ZCW2,"Plasma proteins, Predicted intracellular proteins",,9.7,,,9.7,0.986771734,0,0,,
SLC9A3 regulator 1,ENSG00000109062,O14745,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",,9.6,,,9.6,0.982271233,0,0,,
Perilipin 3,ENSG00000105355,O60664,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",,9.3,,1.3,9.3,0.968482949,0,0,,
Voltage dependent anion channel 3,ENSG00000078668,Q9Y277,"Plasma proteins, Predicted intracellular proteins",Porin,9.3,,,9.3,0.968482949,0,0,,
Betaine--homocysteine S-methyltransferase,ENSG00000145692,Q93088,"Enzymes, Plasma proteins, Predicted intracellular proteins","Methyltransferase, Transferase",9.2,,,9.2,0.963787827,0,0,,
Chaperonin containing TCP1 subunit 2,ENSG00000166226,P78371,"Plasma proteins, Predicted intracellular proteins",Chaperone,9.1,,,9.1,0.959041392,0,0,,
Heat shock protein family E (Hsp10) member 1,ENSG00000115541,P61604,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Chaperone,9,,6.4,9,0.954242509,0,0,,
Ferritin heavy chain 1,ENSG00000167996,P02794,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,9,,,9,0.954242509,0,0,,
G protein subunit alpha i1,ENSG00000127955,P63096,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Transducer,9,,,9,0.954242509,0,0,,
Phosphoglycerate dehydrogenase,ENSG00000092621,O43175,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Oxidoreductase,9,,,9,0.954242509,0,0,,
"RAB7A, member RAS oncogene family",ENSG00000075785,P51149,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,9,,,9,0.954242509,0,0,,
Collagen type VI alpha 2 chain,ENSG00000142173,P12110,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,8.9,,,8.9,0.949390007,0,0,,
Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,ENSG00000150867,P48426,"Enzymes, Plasma proteins, Predicted intracellular proteins","Kinase, Transferase",8.8,,,8.8,0.944482672,0,0,,
Septin 2,ENSG00000168385,Q15019,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,8.8,,,8.8,0.944482672,0,0,,
Ubiquitin conjugating enzyme E2 L3,ENSG00000185651,P68036,"Enzymes, Plasma proteins, Predicted intracellular proteins",Transferase,8.8,,,8.8,0.944482672,0,0,,
NGG1 interacting factor 3 like 1,ENSG00000196290,Q9GZT8,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,8.7,,,8.7,0.939519253,0,0,,
Phosphoinositide-3-kinase interacting protein 1,ENSG00000100100,Q96FE7,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,8.6,,,8.6,0.934498451,0,0,,
Proteasome activator subunit 1,ENSG00000092010,Q06323,"Plasma proteins, Predicted intracellular proteins",,8.6,,,8.6,0.934498451,0,0,,
Serpin family B member 12,ENSG00000166634,Q96P63,"Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Serine protease inhibitor",8.5,,,8.5,0.929418926,0,0,,
Alpha hemoglobin stabilizing protein,ENSG00000169877,Q9NZD4,"Plasma proteins, Predicted intracellular proteins",Chaperone,8.4,,,8.4,0.924279286,0,0,,
EPH receptor A4,ENSG00000116106,P54764,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase",8.4,,,8.4,0.924279286,0,0,,
G protein subunit alpha i3,ENSG00000065135,P08754,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Transducer,8.4,,,8.4,0.924279286,0,0,,
IQ motif containing GTPase activating protein 2,ENSG00000145703,Q13576,"Plasma proteins, Predicted intracellular proteins",Calmodulin-binding,8.4,,,8.4,0.924279286,0,0,,
Leptin receptor,ENSG00000116678,P48357,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Receptor,8.3,,,8.3,0.919078092,0,0,,
TEK receptor tyrosine kinase,ENSG00000120156,Q02763,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins","Kinase, Receptor, Transferase, Tyrosine-protein kinase",8.3,,,8.3,0.919078092,0,0,,
Proteasome subunit beta 5,ENSG00000100804,P28074,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protease, Threonine protease",8.2,,5,8.2,0.913813852,0,0,,
Protein-L-isoaspartate (D-aspartate) O-methyltransferase,ENSG00000120265,P22061,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Methyltransferase, Transferase",8.2,,3.9,8.2,0.913813852,0,0,,
ADAM metallopeptidase domain 10,ENSG00000137845,O14672,"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Hydrolase, Metalloprotease, Protease",8.2,,,8.2,0.913813852,0,0,,
C-C motif chemokine ligand 5,ENSG00000271503,P13501,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Cytokine,8.2,,,8.2,0.913813852,0,0,,
"RAD23 homolog B, nucleotide excision repair protein",ENSG00000119318,P54727,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,8.2,,,8.2,0.913813852,0,0,,
Ribophorin I,ENSG00000163902,P04843,"Cancer-related genes, Plasma proteins, Predicted membrane proteins",,8.2,,,8.2,0.913813852,0,0,,
Aldo-keto reductase family 1 member A1,ENSG00000117448,P14550,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,8.1,,,8.1,0.908485019,0,0,,
Notch 1,ENSG00000148400,P46531,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters","Activator, Developmental protein, Receptor",8.1,,,8.1,0.908485019,0,0,,
Protein phosphatase 1 catalytic subunit alpha,ENSG00000172531,P62136,"Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protein phosphatase",8.1,,,8.1,0.908485019,0,0,,
RAS p21 protein activator 3,ENSG00000185989,Q14644,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",GTPase activation,8.1,,,8.1,0.908485019,0,0,,
Secretoglobin family 3A member 1,ENSG00000161055,Q96QR1,"Plasma proteins, Predicted secreted proteins",Cytokine,8,,,8,0.903089987,0,0,,
Aconitase 1,ENSG00000122729,P21399,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins","Lyase, RNA-binding",8,,,8,0.903089987,0,0,,
Involucrin,ENSG00000163207,P07476,"Plasma proteins, Predicted intracellular proteins",,8,,,8,0.903089987,0,0,,
Transgelin,ENSG00000149591,Q01995,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Actin-binding, Muscle protein",8,,,8,0.903089987,0,0,,
NME/NM23 nucleoside diphosphate kinase 3,ENSG00000103024,Q13232,"Enzymes, Plasma proteins, Predicted intracellular proteins","Kinase, Transferase",7.9,,1.4,7.9,0.897627091,0,0,,
C-C motif chemokine ligand 15,ENSG00000275718,Q16663,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cytokine, Heparin-binding",7.9,,,7.9,0.897627091,0,0,,
"Serine peptidase inhibitor, Kazal type 1",ENSG00000164266,P00995,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",7.9,,,7.9,0.897627091,0,0,,
Adhesion G protein-coupled receptor G2,ENSG00000173698,Q8IZP9,"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins","G-protein coupled receptor, Receptor, Transducer",7.9,,,7.9,0.897627091,0,0,,
Solute carrier family 25 member 5,ENSG00000005022,P05141,"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",,7.8,,,7.8,0.892094603,0,0,,
Protein phosphatase 1 catalytic subunit beta,ENSG00000213639,P62140,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Hydrolase, Protein phosphatase",7.7,,,7.7,0.886490725,0,0,,
Glycerol-3-phosphate dehydrogenase 2,ENSG00000115159,P43304,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,7.6,,,7.6,0.880813592,0,0,,
Protein phosphatase 1 catalytic subunit gamma,ENSG00000186298,P36873,"Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protein phosphatase",7.6,,,7.6,0.880813592,0,0,,
BPI fold containing family B member 1,ENSG00000125999,Q8TDL5,"Plasma proteins, Predicted secreted proteins",,7.5,,3.3,7.5,0.875061263,0,0,,
Erythrocyte membrane protein band 4.2,ENSG00000166947,P16452,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,7.5,,,7.5,0.875061263,0,0,,
Kinase insert domain receptor,ENSG00000128052,P35968,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins","Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase",7.4,,,7.4,0.86923172,0,0,,
ABRA C-terminal like,ENSG00000146386,Q9P1F3,"Plasma proteins, Predicted intracellular proteins",,7.4,,,7.4,0.86923172,0,0,,
Annexin A3,ENSG00000138772,P12429,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Phospholipase A2 inhibitor,7.4,,,7.4,0.86923172,0,0,,
Chaperonin containing TCP1 subunit 6A,ENSG00000146731,P40227,"Plasma proteins, Predicted intracellular proteins",Chaperone,7.4,,,7.4,0.86923172,0,0,,
"Protein tyrosine phosphatase, non-receptor type 6",ENSG00000111679,P29350,"Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protein phosphatase",7.4,,,7.4,0.86923172,0,0,,
"Alkaline phosphatase, liver/bone/kidney",ENSG00000162551,P05186,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Hydrolase,7.3,,,7.3,0.86332286,0,0,,
Latent transforming growth factor beta binding protein 4,ENSG00000090006,Q8N2S1,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Growth factor binding,7.3,,,7.3,0.86332286,0,0,,
Crystallin zeta,ENSG00000116791,Q08257,"Enzymes, Plasma proteins, Predicted intracellular proteins","Oxidoreductase, RNA-binding",7.2,,,7.2,0.857332496,0,0,,
"Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",ENSG00000131446,P26572,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Glycosyltransferase, Transferase",7.2,,,7.2,0.857332496,0,0,,
Solute carrier family 25 member 6,ENSG00000169100,P12236,"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",,7.2,,,7.2,0.857332496,0,0,,
Plectin,ENSG00000178209,Q15149,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Actin-binding,7.1,,7.5,7.1,0.851258349,0,0,,
"Diazepam binding inhibitor, acyl-CoA binding protein",ENSG00000155368,P07108,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,7.1,,,7.1,0.851258349,0,0,,
Glutamic-oxaloacetic transaminase 2,ENSG00000125166,P00505,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters","Aminotransferase, Transferase",7,,11,7,0.84509804,0,0,,
Fibroblast growth factor binding protein 2,ENSG00000137441,Q9BYJ0,"Plasma proteins, Predicted secreted proteins",Growth factor binding,6.9,,,6.9,0.838849091,0,0,,
Hydroxysteroid 17-beta dehydrogenase 4,ENSG00000133835,P51659,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Isomerase, Lyase, Oxidoreductase",6.9,,,6.9,0.838849091,0,0,,
Kallikrein related peptidase 6,ENSG00000167755,Q92876,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",6.8,,,6.8,0.832508913,0,0,,
"Alcohol dehydrogenase 5 (class III), chi polypeptide",ENSG00000197894,P11766,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,6.8,,,6.8,0.832508913,0,0,,
"Capping actin protein, gelsolin like",ENSG00000042493,P40121,"Plasma proteins, Predicted intracellular proteins","Actin capping, Actin-binding",6.7,,,6.7,0.826074803,0,0,,
Dematin actin binding protein,ENSG00000158856,Q08495,"Plasma proteins, Predicted intracellular proteins","Actin capping, Actin-binding",6.7,,,6.7,0.826074803,0,0,,
"Protein tyrosine phosphatase, receptor type B",ENSG00000127329,P23467,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Hydrolase, Protein phosphatase",6.7,,,6.7,0.826074803,0,0,,
Anthrax toxin receptor 2,ENSG00000163297,P58335,"Disease related genes, Plasma proteins, Predicted membrane proteins",Receptor,6.6,,,6.6,0.819543936,0,0,,
Carboxypeptidase B1,ENSG00000153002,P15086,"Enzymes, Plasma proteins, Predicted secreted proteins","Carboxypeptidase, Hydrolase, Metalloprotease, Protease",6.6,,,6.6,0.819543936,0,0,,
Cystatin SN,ENSG00000170373,P01037,"Plasma proteins, Predicted secreted proteins","Protease inhibitor, Thiol protease inhibitor",6.6,,,6.6,0.819543936,0,0,,
Arginyl aminopeptidase,ENSG00000176393,Q9H4A4,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Aminopeptidase, Hydrolase, Metalloprotease, Protease",6.6,,,6.6,0.819543936,0,0,,
N-ribosyldihydronicotinamide:quinone reductase 2,ENSG00000124588,P16083,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,6.5,,3.1,6.5,0.812913357,0,0,,
Septin 11,ENSG00000138758,Q9NVA2,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,6.5,,,6.5,0.812913357,0,0,,
Coagulation factor VIII,ENSG00000185010,P00451,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,6.4,,0.83,6.4,0.806179974,0,0,,
Fibrinogen like 2,ENSG00000127951,Q14314,"Plasma proteins, Predicted secreted proteins",,6.4,,,6.4,0.806179974,0,0,,
A-kinase anchoring protein 12,ENSG00000131016,Q02952,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Calmodulin-binding,6.4,,,6.4,0.806179974,0,0,,
TYRO3 protein tyrosine kinase,ENSG00000092445,Q06418,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase",6.4,,,6.4,0.806179974,0,0,,
Opioid binding protein/cell adhesion molecule like,ENSG00000183715,Q14982,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,6.3,,,6.3,0.799340549,0,0,,
Electron transfer flavoprotein alpha subunit,ENSG00000140374,P13804,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,6.3,,,6.3,0.799340549,0,0,,
Programmed cell death 6 interacting protein,ENSG00000170248,Q8WUM4,"Plasma proteins, Predicted intracellular proteins",,6.2,,,6.2,0.792391689,0,0,,
S100 calcium binding protein A12,ENSG00000163221,P80511,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Antibiotic, Antimicrobial, Fungicide",6.2,,,6.2,0.792391689,0,0,,
Aspartyl aminopeptidase,ENSG00000123992,Q9ULA0,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Aminopeptidase, Hydrolase, Metalloprotease, Protease",6.2,,,6.2,0.792391689,0,0,,
Cystatin B,ENSG00000160213,P04080,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters","Protease inhibitor, Thiol protease inhibitor",6.1,,78,6.1,0.785329835,0,0,,
Annexin A5,ENSG00000164111,P08758,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",,6.1,,7.9,6.1,0.785329835,0,0,,
Utrophin,ENSG00000152818,P46939,"Plasma proteins, Predicted intracellular proteins",Actin-binding,6,,,6,0.77815125,0,0,,
Chaperonin containing TCP1 subunit 7,ENSG00000135624,Q99832,"Plasma proteins, Predicted intracellular proteins",Chaperone,5.9,,1.7,5.9,0.770852012,0,0,,
"1,4-alpha-glucan branching enzyme 1",ENSG00000114480,Q04446,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Glycosyltransferase, Transferase",5.9,,,5.9,0.770852012,0,0,,
Thioredoxin reductase 1,ENSG00000198431,Q16881,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,5.9,,,5.9,0.770852012,0,0,,
Collectin subfamily member 10,ENSG00000184374,Q9Y6Z7,"Disease related genes, Plasma proteins, Predicted secreted proteins",,5.7,,4.7,5.7,0.755874856,0,0,,
Nucleosome assembly protein 1 like 4,ENSG00000205531,Q99733,"Plasma proteins, Predicted intracellular proteins",Chaperone,5.7,,,5.7,0.755874856,0,0,,
"Neural precursor cell expressed, developmentally down-regulated 8",ENSG00000129559,Q15843,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,5.7,,,5.7,0.755874856,0,0,,
Reactive intermediate imine deaminase A homolog,ENSG00000132541,P52758,"Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, RNA-binding",5.7,,,5.7,0.755874856,0,0,,
Serpin family B member 4,ENSG00000206073,P48594,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Serine protease inhibitor",5.7,,,5.7,0.755874856,0,0,,
Extracellular matrix protein 2,ENSG00000106823,O94769,"Plasma proteins, Predicted secreted proteins",,5.5,,,5.5,0.740362689,0,0,,
Adenylate kinase 2,ENSG00000004455,P54819,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Kinase, Transferase",5.5,,,5.5,0.740362689,0,0,,
Karyopherin subunit beta 1,ENSG00000108424,Q14974,"Plasma proteins, Predicted intracellular proteins, Transporters",,5.5,,,5.5,0.740362689,0,0,,
Solute carrier family 25 member 3,ENSG00000075415,Q00325,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,5.5,,,5.5,0.740362689,0,0,,
Secreted LY6/PLAUR domain containing 1,ENSG00000126233,P55000,"Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Cytokine,5.4,,,5.4,0.73239376,0,0,,
Cytochrome c oxidase subunit 5A,ENSG00000178741,P20674,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",,5.4,,,5.4,0.73239376,0,0,,
"Alcohol dehydrogenase 4 (class II), pi polypeptide",ENSG00000198099,P08319,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,5.3,,,5.3,0.72427587,0,0,,
VAMP associated protein A,ENSG00000101558,Q9P0L0,"Plasma proteins, Predicted membrane proteins",,5.3,,,5.3,0.72427587,0,0,,
Connective tissue growth factor,ENSG00000118523,P29279,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Heparin-binding,5.2,,,5.2,0.716003344,0,0,,
Versican,ENSG00000038427,P13611,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,5.2,,,5.2,0.716003344,0,0,,
Alanine-glyoxylate aminotransferase,ENSG00000172482,P21549,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Aminotransferase, Transferase",5.2,,,5.2,0.716003344,0,0,,
Uroporphyrinogen decarboxylase,ENSG00000126088,P06132,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Decarboxylase, Lyase",5.2,,,5.2,0.716003344,0,0,,
S100 calcium binding protein A6,ENSG00000197956,P06703,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,5.1,,28,5.1,0.707570176,0,0,,
Serpin family B member 6,ENSG00000124570,P35237,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Serine protease inhibitor",5.1,,,5.1,0.707570176,0,0,,
Ectonucleoside triphosphate diphosphohydrolase 5,ENSG00000187097,O75356,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Hydrolase,5,,,5,0.698970004,0,0,,
Carboxypeptidase M,ENSG00000135678,P14384,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Carboxypeptidase, Hydrolase, Metalloprotease, Protease",5,,,5,0.698970004,0,0,,
Heterogeneous nuclear ribonucleoprotein K,ENSG00000165119,P61978,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Activator, DNA-binding, Repressor, Ribonucleoprotein, RNA-binding",5,,,5,0.698970004,0,0,,
Endoplasmic reticulum protein 29,ENSG00000089248,P30040,"Plasma proteins, Predicted intracellular proteins",,4.9,,6,4.9,0.69019608,0,0,,
ARP1 actin related protein 1 homolog A,ENSG00000138107,P61163,"Plasma proteins, Predicted intracellular proteins",,4.9,,,4.9,0.69019608,0,0,,
Stromal interaction molecule 1,ENSG00000167323,Q13586,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,4.9,,,4.9,0.69019608,0,0,,
Voltage dependent anion channel 1,ENSG00000213585,P21796,"Plasma proteins, Predicted intracellular proteins",Porin,4.8,,3.5,4.8,0.681241237,0,0,,
Secretogranin III,ENSG00000104112,Q8WXD2,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,4.8,,,4.8,0.681241237,0,0,,
